caption	image
ROTATE fw23 The woman is wearing a black dress, which is made of leather, and she is also wearing a black coat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23001-d9b7218d.jpg
ROTATE fw23 The woman is wearing a brown dress and a gold belt, which are made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23002-7a302be1.jpg
ROTATE fw23 The woman is wearing a silver dress and a gold belt, which are both shiny and metallic in appearance.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23003-cc67da87.jpg
ROTATE fw23 The woman is wearing a white shirt and black pants, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23004-dbeb21c8.jpg
ROTATE fw23 The woman is wearing a purple dress with sequins, which is a shiny material, and a matching purple coat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23005-90dd02f7.jpg
ROTATE fw23 The clothes in the image are made of leopard print and purple materials, creating a visually striking and fashionable appearance.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23006-1725fc31.jpg
ROTATE fw23 The woman is wearing a brown dress and a brown belt, which are made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23007-f1175e11.jpg
ROTATE fw23 The woman is wearing a black dress, which is made of sequins, and she is also wearing a gold belt.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23008-c1b148ba.jpg
ROTATE fw23 The woman is wearing a purple dress, which is made of a material that is likely to be lightweight and breathable, suitable for warm	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23009-7a798d12.jpg
ROTATE fw23 The woman is wearing a dress made of a flowery material, and she is also wearing a flower in her hair.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23010-fb768f7e.jpg
ROTATE fw23 The woman is wearing a dress made of a brown material, and she is also wearing a brown belt.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23011-d716f35b.jpg
ROTATE fw23 The woman is wearing a dress made of leopard print material, which is a combination of black and white colors.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23012-26e15fc0.jpg
ROTATE fw23 The woman is wearing a dress made of a material that appears to be a combination of leather and lace, and it is green in color	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23013-0fe5af33.jpg
ROTATE fw23 The woman is wearing a long, gray dress, which is made of satin, and she is also wearing a gold necklace.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23014-610eb9fa.jpg
ROTATE fw23 The woman is wearing a gold dress and a silver jacket, which are both made of sequins.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23015-018df374.jpg
ROTATE fw23 The woman is wearing a leopard print fur coat, which is made of fur, and a black dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23016-b2d6e85b.jpg
ROTATE fw23 The woman is wearing a dress made of a metallic material, which is likely shiny and reflective, and the dress is pink	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23017-82c8ee88.jpg
ROTATE fw23 The woman is wearing a dress made of a material that appears to be a blend of leather and lace, and it is blue in	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23018-5d6d23fc.jpg
ROTATE fw23 The woman is wearing a leopard print dress, which is made of leather, and she is also wearing leather pants.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23019-966b73bb.jpg
ROTATE fw23 The woman is wearing a white dress and a white jacket, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23020-4481502b.jpg
ROTATE fw23 The woman is wearing a green dress, which is made of a lightweight material, and she is also wearing a white shirt.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23021-4b168f53.jpg
ROTATE fw23 The woman is wearing a leopard print dress, which is made of leopard print material, and she is also wearing a le	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23022-fa158f8a.jpg
ROTATE fw23 The woman is wearing a purple dress, which is made of a material that appears to be silk, and she is also wearing a	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23023-0aa6d3f3.jpg
ROTATE fw23 The woman is wearing a dress made of a material that appears to be a combination of blue and black, and the dress is green.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23024-899a486e.jpg
ROTATE fw23 The woman is wearing a black dress and black boots, which are made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23025-e0562914.jpg
ROTATE fw23 The woman is wearing a black and brown outfit, which consists of a brown jacket and black pants.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23026-4b1d1bce.jpg
ROTATE fw23 The woman is wearing a black and white outfit, which consists of a black jacket and a white shirt.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23027-c27ed505.jpg
ROTATE fw23 The woman is wearing a black dress with a gold belt, and she is also wearing a black jacket.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23028-bc832d9c.jpg
ROTATE fw23 The woman is wearing a black dress, which is made of silk, and she is walking on a red carpet.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23029-d40a6e13.jpg
ROTATE fw23 The woman is wearing a black dress with a gold belt, and she is also wearing a black coat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/rotateaw23030-8fd25229.jpg
REMAIN fw23 The man is wearing a brown leather jacket and a tan shirt, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23001-d815fff7.jpg
REMAIN fw23 The man is wearing a suit, which is made of wool, and a tie, which is made of silk.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23002-1ef14e45.jpg
REMAIN fw23 The man is wearing a blue coat, which is made of fur, and he is also wearing a blue jacket.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23003-98ba2b82.jpg
REMAIN fw23 The clothes in the image are made of materials like leather and silk, and they are predominantly blue and grey in color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23004-2b30a419.jpg
REMAIN fw23 The clothes are made of a lightweight, flowing material, and they are predominantly white.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23005-011c53a3.jpg
REMAIN fw23 The woman is wearing a long coat, which is made of wool, and a dress, which is made of silk.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23006-fa4fbb6e.jpg
REMAIN fw23 The woman is wearing a blue jacket and a white shirt, which are made of denim material.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23007-9cc21437.jpg
REMAIN fw23 The woman is wearing a blue coat, which is made of leather, and a matching blue dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23008-40bfb706.jpg
REMAIN fw23 The woman is wearing a black leather jacket, a blue shirt, and blue jeans.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23009-851e7bc8.jpg
REMAIN fw23 The man is wearing a blue jacket, a brown coat, and a black hat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23010-79781d81.jpg
REMAIN fw23 The clothes are made of leather and black materials, which are commonly associated with a more formal and sophisticated style.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23011-9521adb5.jpg
REMAIN fw23 The clothes in the image are made of leather and are predominantly blue and black in color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23012-dc465db6.jpg
REMAIN fw23 The woman is wearing a dress made of silk, which is a natural fiber, and it is purple in color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23013-7e131aa7.jpg
REMAIN fw23 The woman is wearing a purple jacket and a black skirt, which are made of wool.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23014-b9f224e5.jpg
REMAIN fw23 The clothes in the image are made of materials like silk and wool, and they are predominantly white and black in color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23015-3bd9d7b5.jpg
REMAIN fw23 The man is wearing a suit made of wool, which is a natural fiber, and a shirt made of cotton, which is	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23016-d9d2ef6c.jpg
REMAIN fw23 The woman is wearing a purple coat, a black dress, and black gloves.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23017-f54a484d.jpg
REMAIN fw23 The woman is wearing a black leather jacket and a black dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23018-33026ac5.jpg
REMAIN fw23 The clothes in the image are made of black materials, and the woman is wearing a black suit.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23019-2f45d289.jpg
REMAIN fw23 The clothes are made of wool, which is a natural fiber, and the colors are predominantly gray and brown.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23020-4bc53210.jpg
REMAIN fw23 The woman is wearing a black dress and a black coat, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23021-b5c0fb48.jpg
REMAIN fw23 The man is wearing a suit made of brown and black materials, which is a combination of brown and black colors.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23022-9367772b.jpg
REMAIN fw23 The woman is wearing a blue dress and a brown purse.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23023-4949fb34.jpg
REMAIN fw23 The man is wearing a black coat, which is made of leather, and a black hat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23024-ce673ef3.jpg
REMAIN fw23 The clothes in the image are made of materials like leather and wool, and they are predominantly black and grey in color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23025-03d9ea31.jpg
REMAIN fw23 The clothes in the image are made of leather and black materials, with the woman wearing a black dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23026-621d3b30.jpg
REMAIN fw23 The woman is wearing a black leather jacket and a black dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23027-9b628221.jpg
REMAIN fw23 The woman is wearing a silver metallic jacket and a white shirt.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23028-e03f834a.jpg
REMAIN fw23 The woman is wearing a brown dress, which is made of a synthetic material.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23029-5b986775.jpg
REMAIN fw23 The clothes are made of leather and black, which gives them a sleek and sophisticated appearance.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23030-de33fb71.jpg
REMAIN fw23 The clothes in the image are made of leather and have a tan color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23031-a448b7a1.jpg
REMAIN fw23 The woman is wearing a black coat, which is made of leather, and a matching black dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23032-2d3200e0.jpg
REMAIN fw23 The man is wearing a black leather jacket and a white shirt.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/remainaw23033-68f91e09.jpg
STINEGOYA fw23 The woman is wearing a black coat, which is made of fur, and a black dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane1-4b19334c.jpg
STINEGOYA fw23 The woman is wearing a dress made of silver material and has socks with yellow and white stripes.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane2-24587f97.jpg
